"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"LY1021008243",0.9275,0.6358333333333333,0.8624999999999999,0.8041666666666668,5,5,308,50,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008245",0.82,0.78,0.8075000000000001,0.8175000000000001,2,5,251,140,"Femme",25,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008253",0.7124999999999999,0.78,0.8075000000000001,0.7950000000000002,2,5,237,140,"Homme",24,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008264",0.905,0.8775,0.905,0.9100000000000003,3,5,121.5,43,"Homme",30,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008268",0.86,0.73,0.905,0.8075000000000002,2,5,307,100,"Homme",31,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008273",0.6575,0.6908333333333333,0.7949999999999999,0.7366666666666669,4,5,238,142,"Homme",41,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008280",0.8175,0.59,0.8374999999999999,0.7650000000000002,3,5,241,139,"Homme",33,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008281",0.86,0.78,0.875,0.8475000000000001,1,1,294,101,"Homme",25,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008285",0.88,0.6825,0.82,0.8125000000000002,3,1,310,70,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008288",0.8075,0.9075,0.6525000000000001,0.7875000000000001,3,0,308,52,"Homme",33,"Libye","Autre","No","No","No","No","No","Yes","KND"
"LY1021008305",0.9125,0.6216666666666666,0.8675,0.8108333333333335,2,1,237,120,"Homme",39,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008306",0.8424999999999999,0.7133333333333335,0.7825000000000001,0.7891666666666667,3,5,295,61,"Homme",47,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008315",0.905,0.7433333333333333,0.8625,0.8516666666666669,2,5,323,58,"Homme",36,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008323",0.65,0.7500000000000002,0.7849999999999999,0.7800000000000001,12,0,338,81,"Homme",39,"Libye","Autre","No","No","No","No","No","No","KND"
"LY1021008328",0.7175,0.7150000000000001,0.6950000000000001,0.7125000000000001,1,5,303,53,"Homme",33,"Libye","Autre","No","Yes","Yes","No","No","Yes","KND"
"LY1021008329",0.9425,0.5908333333333333,0.7825000000000001,0.7966666666666667,2,5,289,67,"Homme",33,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008333",0.8375,0.7000000000000002,0.95,0.7875000000000003,3,5,121.5,174.5,"Homme",32,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008343",0.8525,0.78,0.935,0.8750000000000001,3,5,337,41,"Homme",23,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008363",0.9425,0.7491666666666668,0.88,0.8758333333333335,0,1,335,57,"Homme",34,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008460",0.6875,0.6258333333333334,0.785,0.6741666666666669,3,5,105,269,"Femme",29,"Libye","Autre","No","Yes","No","No","Yes","No","KND"
"LY1021008505",0.6124999999999999,0.7225000000000001,0.7450000000000001,0.725,2,1,267,101,"Homme",68,"Libye","Niger","No","Yes","No","No","No","No","Unknown"
"LY1021008506",0.8075,0.78,0.815,0.81,2,5,351,64,"Homme",29,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008509",0.51,0.6933333333333335,0.8975,0.7016666666666668,16,1,232,137,"Homme",36,"Libye","Niger","No","Yes","No","No","No","No","KND"
"LY1021008512",0.905,0.78,0.855,0.8625000000000002,3,1,315,80,"Homme",37,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008521",0.6625000000000001,0.6883333333333334,0.9874999999999999,0.7866666666666668,12,1,235,136,"Femme",25,"Libye","Niger","No","Yes","No","No","No","No","Unknown"
"LY1021008533",0.6625000000000001,0.6908333333333333,0.9375,0.7666666666666668,12,1,236,135,"Femme",25,"Libye","Niger","No","Yes","No","No","No","No","KND"
"Ly1021008536",0.51,0.6191666666666666,0.46499999999999997,0.5158333333333334,32,0,0,0,"Femme",27,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021008537",0.74,0.4625,0.62,0.6325000000000001,2,0,120,247,"Femme",27,"Libye","Guinee Conakry","No","No","Yes","Yes","No","Yes","CAS, KND"
"LY1021008553",0.5375,0.4075,0.7725,0.5525,6,0,84,287,"Homme",40,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS"
"LY1021008565",0.7625,0.56,0.7549999999999999,0.7075,3,3,185,186,"Homme",27,"Libye","Guinee Conakry","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"LY1021008619",0.8574999999999999,0.6525,0.88,0.8225000000000002,6,5,307,83,"Homme",44,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008623",0.9375,0.7266666666666666,0.7700000000000001,0.7908333333333335,7,5,327,43,"Homme",29,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008639",0.5975,0.6525000000000001,0.6975,0.6875000000000001,5,5,249,118,"Homme",29,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008642",0.875,0.5716666666666667,0.9,0.8008333333333335,8,1,354,36,"Homme",39,"Libye","Autre","No","Yes","No","No","No","Yes","KND"
"LY1021008660",0.4625,0.36500000000000005,0.4774999999999999,0.4425,5,5,188,170,"Femme",26,"Libye","Autre","Yes","Yes","No","No","No","No","KND"
"LY1021008690",0.71,0.7166666666666668,0.8425,0.7758333333333334,1,5,383,174.5,"Homme",35,"Libye","Autre","No","Yes","Yes","No","No","Yes","CAS"
"LY1021008707",0.7124999999999999,0.5975000000000001,0.825,0.7400000000000002,0,0,378,53,"Homme",34,"Libye","Autre","No","No","No","No","No","No","KND"
"LY1021008708",0.845,0.8708333333333333,0.8875,0.8641666666666669,4,0,361,71,"Homme",36,"Libye","Autre","No","No","No","No","No","No","KND"
