ID_1,InterviewDate,InterviewType,BusinessSucess,BusinessProfitability,WouldMigrateAgain,SituationWithoutSupport,ReturningWasGoodDecision,SatisfiedWithReintegrationSupport,Country,CountryOfReturn,Gender,AgeGroup,MigrationDuration,Disabled,ReceivedSupportAs,BusinessType,BusinessMembers,ReceivedIOMBusinessAdvice,BusinessHasEmployees,EmployeeNumber,CoronaImpactOnBusiness,FirstChoice,MicroBusinessLevel,TrainingType,TrainingDuration,DateOfReturn,ReintegrationDate,Gender_Mimosa,AgeAtReferral_Mimosa,ReturnToReintegration
NA,2022-07-04,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Guinée,Algerie,Masculin,18-35 ans,0,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-21,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Satisfait,Gambie,Lybie,Masculin,18-35 ans,4,Non,En nature,Mécanique,Moi et membres de la communauté,Oui,Oui,4 et plus,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-21,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Satisfait,Gambie,Lybie,Masculin,36-65 ans,1,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-06,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Guinée,Algerie,Masculin,18-35 ans,0,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-09,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Ne sait pas,Oui,Très satisfait,Tchad,Autre,Masculin,18-35 ans,2,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-14,Bureau OIM,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Très satisfait,Guinée,Mali,Masculin,36-65 ans,2,Non,En espèces,Restauration,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-15,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,2,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-18,Bureau OIM,NA,NA,Non,Mieux,Oui,Très satisfait,Guinée,Niger,Masculin,18-35 ans,3,Non,En espèces,NA,NA,NA,NA,NA,NA,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-24,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Satisfait,Gambie,Lybie,Masculin,18-35 ans,4,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-18,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Mauritanie,Féminin,36-65 ans,15,Non,En nature,Restauration,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-18,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Satisfait,Burkina Faso,Lybie,Féminin,18-35 ans,6,Non,En espèces,Restauration,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-19,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Mieux,Oui,Très satisfait,Guinée,Lybie,Masculin,18-35 ans,3,Non,En espèces,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-19,Par téléphone,Actuellement ouvert et les activités marchent bien,Non,Non,Pire,Oui,Très satisfait,Burkina Faso,Lybie,Masculin,+65 ans,4,Non,En espèces,Elevage,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-07-20,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Nigeria,Niger,Féminin,36-65 ans,1,Oui,En nature,Coiffure,Moi uniquement,Oui,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA,NA
