"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","VOTs","UMINOR","HealthCondition","CounsellingStatus","EconomicSupport","FinancialServices","JobPlacement","Microbusiness","Training","SocialSupport","ChildCare","Education","Housing","LegalServices","MaterialAssistance","MedicalSupport","SocialProtectionSchemes","PsychosocialSupport","Microbusinesslevel","MicrobusinessDeliveredBy","MicrobusinessFormOfAssistance"
"GM1021001469",0.6125,0.5541666666666667,0.9999999999999999,0.7658333333333334,"4",NA,66,311.9583333333333,"Homme","32","Allemagne","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","KND"
"GM10212C46DE86FC26",0.3275,0.17,0.9124999999999999,0.5125,"3",2,130,216.95833333333334,"Homme","24","Gambie","Burkina Faso","No","No","No","Completed","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS"
"GM102193F739A1794A",0.5075,0.42083333333333334,0.7225,0.5766666666666667,"0",2,130,216.95833333333334,"Homme","35","Gambie","Burkina Faso","No","No","No","Completed","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS"
"GM1021X000788",0.6525,0.525,0.8224999999999999,0.6875000000000001,"3",3,129,238.95833333333334,"Femme","28","Gambie","Guinee Conakry","No","No","No","Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"GM1021X000789",0.6749999999999999,0.7450000000000001,0.83,0.7725000000000001,"1",NA,128,244.95833333333334,"Homme","27","Gambie","Guinee Conakry","No","No","No","Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"GM1021X000790",0.7,0.5283333333333334,0.8725,0.7191666666666668,"0",NA,122,250.95833333333334,"Femme","23","Gambie","Guinee Conakry","No","No","No","Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"Gm1021x000803",0.8225,0.39416666666666667,0.81,0.6908333333333334,"0",NA,NA,NA,"Homme","23","Gambie","Guinee Conakry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm1021x000807",0.655,0.4391666666666667,0.7075,0.6508333333333334,"3",NA,NA,NA,"Homme","27","Gambie","Guinee Conakry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gm1021x000814",0.38249999999999995,0.5125,0.7125,0.55,"0",NA,NA,NA,"Homme","23","Algérie","Guinee Conakry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GM1021X000825",0.5499999999999999,0.5308333333333334,0.535,0.4791666666666668,"7",3,129,265.9583333333333,"Homme","21","Gambie","Guinee Conakry","No","No","No","Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"GM1021X000836",0.585,0.5791666666666666,0.7725,0.6583333333333333,"2",7,172,192.95833333333334,"Homme","21","Gambie","Guinee Conakry","No","No","No","Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"GM1022001033",0.75,0.5608333333333333,0.545,0.6591666666666667,"6",NA,63,200.95833333333334,"Homme","30","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","KND"
"GM1022001046",0.3225,0.5175000000000001,0.5299999999999999,0.4950000000000001,"6",NA,85,144.95833333333334,"Homme","28","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","KND"
"GM1022001094",0.61,0.5266666666666667,0.5475,0.5758333333333334,"6",NA,40,155.95833333333334,"Homme","47","Denmark","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001098",0.6575,0.5941666666666666,0.905,0.7633333333333334,"4",NA,43,131.95833333333334,"Homme","32","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001101",0.6475,0.56,0.5775,0.6175000000000002,"7",NA,60,130.95833333333334,"Homme","35","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001103",0.7124999999999999,0.5591666666666666,0.755,0.6658333333333334,"4",NA,90,80.95833333333333,"Homme","28","Italie","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"GM1022001108",0.805,0.5591666666666666,0.775,0.6833333333333335,"6",NA,82,79.95833333333333,"Homme","27","Sweden","Gambie","No","No","No",NA,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
