ID_1,Date de l'enquête,Mode d'enquête,Comment se porte votre entreprise ou business actuellement ?,L’entreprise vous permet -elle de gagner assez d’argent pour subvenir à vos besoins et à celle de votre famille ?,Avez-vous déjà planifié de migrer de nouveau ?,Si vous n’aviez pas bénéficié de l’aide de l’OIM pour votre réintégration économique quelle serait votre situation actuelle ?,Pensez-vous que le retour a été une bonne décision ?,Êtes-vous satisfait de l’aide à la réintégration de manière globale ?,Pays,Pays d’où le migrant est de retour :,Sexe,Age (l'enquête est destinée aux personnes agées de 14 ans et plus),Durée de l’absence du pays d’origine   Mettre 0 si moins d'un an,Situation de handicap,Par quel moyen avez-vous reçu cette assistance économique ?,Type de business bis,Qui sont les membres de cette entreprise ?,L'OIM   ou un de ses partenaires vous a-t-elle formé sur la façon de gérer une entreprise ?,L’entreprise emploie-t-elle du personnel ?,"Si oui, combien des personnes sont employées par votre entreprise ?",Est-ce votre entreprise a été affectée par la maladie de Coronavirus ?,Est-ce que le type d'assistance économique que vous avez reçu correspondait à votre premier choix ?,Niveau microbusiness,Type de formation,Duree formation,ArrivalDate_Mimosa,Date de reception de la reintegration,Gender_Mimosa,AgeAtReferral_Mimosa
NE1020X006991,2021-07-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Identique,Oui,Très satisfait,Tchad,Lybie,Féminin,36-65 ans,3,Non,Mixte,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2020-02-13T00:00:00Z,NA,Female,50
NE1020X006991,2021-07-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Identique,Oui,Très satisfait,Tchad,Lybie,Féminin,36-65 ans,3,Non,Mixte,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2020-02-13T00:00:00Z,NA,Male,11
NE1020X006991,2021-07-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Identique,Oui,Très satisfait,Tchad,Lybie,Féminin,36-65 ans,3,Non,Mixte,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2020-02-13T00:00:00Z,NA,Male,4
NE1020X006991,2021-07-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Identique,Oui,Très satisfait,Tchad,Lybie,Féminin,36-65 ans,3,Non,Mixte,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2020-02-13T00:00:00Z,NA,Male,8
NE1020X006991,2021-07-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Identique,Oui,Très satisfait,Tchad,Lybie,Féminin,36-65 ans,3,Non,Mixte,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,Collective,NA,NA,2020-02-13T00:00:00Z,NA,Female,15
NA,2021-08-12,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Non,Pire,Oui,Satisfait,Burkina Faso,Niger,Masculin,18-35 ans,NA,Non,Mixte,Restauration,Moi uniquement,Non,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-01,Par téléphone,Fermée,Non,Souhaite ne pas répondre,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Coiffure,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Oui irrégulièrement,Pire,Ne sait pas,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Autre,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-06,Par téléphone,Fermée,Non,Souhaite ne pas répondre,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Couture,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
MA1019001234,2021-09-22,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,5,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Oui,2,Oui Positivement,Non,Collective,NA,TRUE,2019-02-20T00:00:00Z,2022-03-28T00:00:00Z,Male,26
